"","X","target_name","target_id","outcome_name","outcome_id","episodic","chronic"
"1",7,"mHSPC ADT plus abiraterone plus docetaxel",925,"Acute cardiac event",869,1,0
"2",17,"mHSPC ADT plus abiraterone plus docetaxel",925,"Alopecia",853,0,1
"3",27,"mHSPC ADT plus abiraterone plus docetaxel",925,"Bone marrow suppression",870,1,0
"4",37,"mHSPC ADT plus abiraterone plus docetaxel",925,"Cerebral event",872,1,0
"5",47,"mHSPC ADT plus abiraterone plus docetaxel",925,"Chronic heart failure including peripheral oedema",877,0,1
"6",57,"mHSPC ADT plus abiraterone plus docetaxel",925,"Cognitive disturbance",881,0,1
"7",67,"mHSPC ADT plus abiraterone plus docetaxel",925,"Diabetes",883,0,1
"8",77,"mHSPC ADT plus abiraterone plus docetaxel",925,"Electrolyte imbalance",868,1,0
"9",87,"mHSPC ADT plus abiraterone plus docetaxel",925,"Falls",871,1,0
"10",97,"mHSPC ADT plus abiraterone plus docetaxel",925,"Fatigue",874,1,0
"11",107,"mHSPC ADT plus abiraterone plus docetaxel",925,"GI toxicity",888,1,0
"12",117,"mHSPC ADT plus abiraterone plus docetaxel",925,"Hospitalization",873,1,0
"13",127,"mHSPC ADT plus abiraterone plus docetaxel",925,"Hypertension",777,0,1
"14",137,"mHSPC ADT plus abiraterone plus docetaxel",925,"Sepsis",887,1,0
"15",147,"mHSPC ADT plus abiraterone plus docetaxel",925,"Kidney failure",889,1,0
"16",157,"mHSPC ADT plus abiraterone plus docetaxel",925,"Neuropathy",813,0,1
"17",167,"mHSPC ADT plus abiraterone plus docetaxel",925,"Rash",855,1,0
"18",177,"mHSPC ADT plus abiraterone plus docetaxel",925,"Seizures",890,1,0
"19",187,"mHSPC ADT plus abiraterone plus docetaxel",925,"Skeletally related events",833,1,0
"20",197,"mHSPC ADT plus abiraterone plus docetaxel",925,"Thromboembolism",891,1,0
"21",207,"mHSPC ADT plus abiraterone plus docetaxel",925,"Abnormal hepatic function (episodic)",896,1,0
"22",217,"mHSPC ADT plus abiraterone plus docetaxel",925,"Abnormal hepatic function (chronic)",917,0,1
"23",227,"mHSPC ADT plus abiraterone plus docetaxel",925,"Kidney failure (chronic)",866,0,1
"24",237,"mHSPC ADT plus abiraterone plus docetaxel",925,"Kidney failure (episodic)",857,1,0
"25",8,"mHSPC ADT plus enzalutamide plus docetaxel",926,"Acute cardiac event",869,1,0
"26",18,"mHSPC ADT plus enzalutamide plus docetaxel",926,"Alopecia",853,0,1
"27",28,"mHSPC ADT plus enzalutamide plus docetaxel",926,"Bone marrow suppression",870,1,0
"28",38,"mHSPC ADT plus enzalutamide plus docetaxel",926,"Cerebral event",872,1,0
"29",48,"mHSPC ADT plus enzalutamide plus docetaxel",926,"Chronic heart failure including peripheral oedema",877,0,1
